user_id,timestamp,merchant,category,amount,currency,amount_ils,transaction_type,is_anomaly
user_002,2024-03-07 08:53,רכבת ישראל,תחבורה,80.01,ILS,80.01,רגילה,0
user_010,2024-08-18 11:24,ספוטיפיי,פנאי,31.36,ILS,31.36,הוראת קבע,0
user_002,2024-05-10 04:34,סופר-פארם,פארם,1638.9,ILS,1638.9,רגילה,1
user_006,2024-10-20 19:06,Udemy,חינוך,350.06,ILS,350.06,רגילה,0
user_015,2024-07-12 14:42,עירייה,אחר,35.77,ILS,35.77,רגילה,0
user_036,2024-10-06 22:48,רמי לוי,סופרמרקט,154.4,ILS,154.4,רגילה,0
user_014,2024-07-14 21:38,Gett,תחבורה,33.09,ILS,33.09,רגילה,0
user_005,2024-12-09 20:54,דומינוס,מסעדות,111.9,ILS,111.9,רגילה,0
user_003,2024-04-08 22:43,H&M,אופנה,495.14,ILS,495.14,הוראת קבע,0
user_050,2024-11-23 12:21,Gett,תחבורה,52.87,ILS,52.87,רגילה,0
user_020,2024-10-05 03:43,רכבת ישראל,תחבורה,496.65,ILS,496.65,רגילה,1
user_038,2024-03-01 12:21,KSP,חשמל,149.58,ILS,149.58,רגילה,0
user_003,2024-04-09 14:23,נטפליקס,פנאי,38.94,ILS,38.94,רגילה,0
user_038,2024-11-14 13:55,דלק,דלק,179.41,ILS,179.41,רגילה,0
user_029,2024-05-01 14:17,KSP,חשמל,1146.46,ILS,1146.46,תשלומים,0
user_008,2024-11-01 21:34,סופר-פארם,פארם,71.57,ILS,71.57,רגילה,0
user_017,2024-03-17 10:25,KSP,חשמל,154.78,EUR,619.12,"עסקת חו""ל",0
user_026,2024-09-28 11:55,קסטרו,אופנה,244.19,ILS,244.19,רגילה,0
user_018,2024-12-08 17:04,Udemy,חינוך,131.01,ILS,131.01,רגילה,0
user_031,2024-09-16 10:32,ספוטיפיי,פנאי,2.8,USD,10.36,"עסקת חו""ל",0
user_026,2024-06-27 11:26,אייבורי,חשמל,468.61,ILS,468.61,רגילה,0
user_018,2024-03-19 13:27,פז,דלק,166.79,ILS,166.79,רגילה,0
user_014,2024-03-01 13:55,סופר-פארם,פארם,65.99,ILS,65.99,רגילה,0
user_031,2024-02-04 21:28,רכבת ישראל,תחבורה,63.26,ILS,63.26,הוראת קבע,0
user_023,2024-01-24 11:28,פוקס,אופנה,93.63,ILS,93.63,רגילה,0
user_048,2024-07-18 20:01,יס פלאנט,פנאי,65.23,ILS,65.23,רגילה,0
user_041,2024-03-28 15:29,פוקס,אופנה,150.57,ILS,150.57,רגילה,0
user_035,2024-07-24 14:53,סופר-פארם,פארם,149.52,ILS,149.52,רגילה,0
user_006,2024-03-05 13:07,ספוטיפיי,פנאי,74.86,ILS,74.86,רגילה,0
user_001,2024-04-13 14:01,גולדה,מסעדות,105.67,ILS,105.67,רגילה,0
user_042,2024-12-13 12:09,יס פלאנט,פנאי,53.68,ILS,53.68,רגילה,0
user_038,2024-04-26 17:47,זארה,אופנה,494.34,ILS,494.34,רגילה,0
user_020,2024-06-08 08:07,קסטרו,אופנה,148.66,ILS,148.66,רגילה,0
user_021,2024-07-18 22:14,אוניברסיטה,חינוך,226.82,ILS,226.82,רגילה,0
user_050,2024-09-26 18:46,גולדה,מסעדות,170.28,ILS,170.28,רגילה,0
user_022,2024-12-09 01:17,פוקס,אופנה,2601.06,ILS,2601.06,תשלומים,1
user_015,2024-04-15 19:44,פז,דלק,273.64,ILS,273.64,רגילה,0
user_005,2024-01-04 20:50,פז,דלק,50.56,GBP,237.63,"עסקת חו""ל",0
user_042,2024-06-22 10:36,ביטוח,אחר,45.1,ILS,45.1,תשלומים,0
user_039,2024-11-20 15:15,קסטרו,אופנה,239.96,ILS,239.96,רגילה,0
user_044,2024-07-17 13:43,פז,דלק,183.31,ILS,183.31,רגילה,0
user_006,2024-01-15 19:31,Be,פארם,209.81,ILS,209.81,רגילה,0
user_029,2024-12-13 09:42,סופר-פארם,פארם,168.25,ILS,168.25,רגילה,0
user_009,2024-06-08 11:11,ויקטורי,סופרמרקט,359.46,ILS,359.46,רגילה,0
user_035,2024-07-04 14:47,קפה גרג,מסעדות,48.12,ILS,48.12,רגילה,0
user_025,2024-03-25 11:52,Udemy,חינוך,32.78,ILS,32.78,רגילה,0
user_006,2024-08-06 10:09,עירייה,אחר,281.99,ILS,281.99,רגילה,0
user_031,2024-05-22 13:44,דלק,דלק,217.78,ILS,217.78,רגילה,0
user_016,2024-09-15 22:37,טיב טעם,סופרמרקט,380.39,ILS,380.39,רגילה,0
user_006,2024-06-12 05:34,Be,פארם,1493.73,ILS,1493.73,רגילה,1
user_015,2024-05-01 09:47,KSP,חשמל,1131.8,ILS,1131.8,רגילה,0
user_019,2024-07-10 20:39,רכבת ישראל,תחבורה,63.48,ILS,63.48,רגילה,0
user_026,2024-07-07 11:57,יס פלאנט,פנאי,9.52,EUR,38.08,"עסקת חו""ל",0
user_011,2024-07-13 08:22,מחסני חשמל,חשמל,254.35,ILS,254.35,רגילה,0
user_003,2024-04-24 15:16,דלק,דלק,50.25,EUR,201.0,"עסקת חו""ל",0
user_035,2024-12-02 17:41,חברת חשמל,אחר,116.87,ILS,116.87,תשלומים,0
user_045,2024-04-26 08:34,Gett,תחבורה,77.93,ILS,77.93,תשלומים,0
user_049,2024-08-16 20:14,מקדונלד'ס,מסעדות,105.14,ILS,105.14,רגילה,0
user_037,2024-08-19 00:55,רכבת ישראל,תחבורה,346.77,ILS,346.77,רגילה,1
user_038,2024-09-19 13:23,Gett,תחבורה,36.77,ILS,36.77,תשלומים,0
user_033,2024-11-03 18:46,סונול,דלק,47.64,USD,176.27,"עסקת חו""ל",0
user_018,2024-12-25 10:55,נטפליקס,פנאי,79.56,ILS,79.56,רגילה,0
user_036,2024-11-16 12:18,רמי לוי,סופרמרקט,418.69,ILS,418.69,רגילה,0
user_015,2024-04-02 16:37,אייבורי,חשמל,1605.29,ILS,1605.29,רגילה,0
user_019,2024-07-09 10:44,מחסני חשמל,חשמל,244.08,USD,903.1,"עסקת חו""ל",0
user_037,2024-01-07 08:19,יס פלאנט,פנאי,38.0,ILS,38.0,רגילה,0
user_040,2024-12-04 00:20,אוניברסיטה,חינוך,2172.87,ILS,2172.87,הוראת קבע,1
user_032,2024-10-01 08:55,אוניברסיטה,חינוך,222.96,ILS,222.96,תשלומים,0
user_024,2024-09-10 10:11,ספוטיפיי,פנאי,58.47,ILS,58.47,רגילה,0
user_002,2024-06-12 09:02,דומינוס,מסעדות,23.43,ILS,23.43,רגילה,0
user_050,2024-10-12 20:00,רמי לוי,סופרמרקט,295.81,ILS,295.81,רגילה,0
user_048,2024-05-13 22:25,דלק,דלק,224.29,ILS,224.29,רגילה,0
